,9H,10H,11H,12H,13H,14H,15H
AAPL,11.0,43.0,2.0,31.0,1213.0,1220.0,1169.0
AXP,51.0,53.0,35.0,132.0,1262.0,1193.0,1156.0
BA,51.0,53.0,44.0,114.0,1245.0,1194.0,1148.0
CAT,37.0,46.0,26.0,34.0,1175.0,1182.0,1147.0
CSCO,12.0,45.0,0.0,29.0,1216.0,1220.0,1169.0
CVX,30.0,42.0,3.0,4.0,1144.0,1163.0,1149.0
DD,99.0,137.0,129.0,243.0,1400.0,1274.0,1162.0
DIS,40.0,42.0,8.0,22.0,1161.0,1163.0,1147.0
GE,26.0,42.0,1.0,0.0,1148.0,1160.0,1144.0
GS,39.0,82.0,112.0,331.0,1387.0,1283.0,1165.0
HD,146.0,42.0,6.0,12.0,1160.0,1167.0,1145.0
IBM,39.0,51.0,20.0,93.0,1216.0,1174.0,1145.0
INTC,48.0,80.0,0.0,28.0,1257.0,1231.0,1169.0
JNJ,33.0,42.0,1.0,3.0,1141.0,1160.0,1144.0
JPM,30.0,43.0,1.0,1.0,1140.0,1160.0,1144.0
KO,32.0,43.0,2.0,5.0,1147.0,1162.0,1144.0
MCD,25.0,42.0,5.0,30.0,1208.0,1166.0,1145.0
MMM,144.0,127.0,193.0,457.0,1579.0,1367.0,1172.0
MRK,14.0,41.0,1.0,6.0,1141.0,1162.0,1144.0
MSFT,11.0,41.0,0.0,36.0,1217.0,1220.0,1169.0
NKE,147.0,92.0,139.0,338.0,1469.0,1266.0,1160.0
PFE,12.0,51.0,1.0,16.0,1142.0,1179.0,1204.0
PG,22.0,42.0,2.0,7.0,1152.0,1165.0,1144.0
SP500,80.0,68.0,32.0,18.0,1144.0,1141.0,1145.0
TRV,341.0,397.0,635.0,1262.0,2302.0,1696.0,1231.0
UNH,88.0,47.0,44.0,141.0,1254.0,1183.0,1149.0
UTX,78.0,62.0,64.0,146.0,1294.0,1206.0,1147.0
V,43.0,64.0,125.0,324.0,1425.0,1300.0,1228.0
VZ,22.0,41.0,1.0,3.0,1140.0,1160.0,1144.0
WMT,23.0,43.0,2.0,17.0,1158.0,1166.0,1144.0
XOM,13.0,46.0,1.0,1.0,1141.0,1160.0,1144.0
