,AIC_ols,AIC_ridge,AIC_lasso,AIC_enet,AIC_adapt_lasso,AIC_adapt_enet,AIC_linear_boost
2011-12-23,-0.7269290190000001,-0.7852895809999999,-0.824715753,-0.8145925820000001,-0.895276223,-0.7424698740000001,-0.923793915
2011-12-27,-0.7267528959999999,-0.785526865,-0.826503532,-0.811159058,-0.892201254,-0.7424864170000001,-0.9241254990000001
2011-12-28,-0.7269795809999999,-0.785749701,-0.8250887929999999,-0.812173195,-0.895481874,-0.7415213629999999,-0.9244872059999999
2011-12-29,-0.7272523879999999,-0.785482626,-0.8244608609999999,-0.811959212,-0.900634871,-0.7413983759999999,-0.924802302
2011-12-30,-0.727888807,-0.785851275,-0.825787084,-0.820061143,-0.891784262,-0.741769448,-0.9253056340000001
2012-01-03,-0.7280799029999999,-0.786546538,-0.825598795,-0.82334663,-0.8996458759999999,-0.7418626970000001,-0.9263612179999999
2012-01-04,-0.7287650170000001,-0.7871835309999999,-0.821762125,-0.8252011779999999,-0.901429047,-0.7435909940000001,-0.9258927459999999
2012-01-05,-0.731683338,-0.790408456,-0.8258171540000001,-0.8274343670000001,-0.90818466,-0.744939885,-0.92881264
2012-01-06,-0.732272267,-0.790920402,-0.8245129170000001,-0.824585192,-0.908233153,-0.7441633809999999,-0.9287889640000001
2012-01-09,-0.731629997,-0.7907739770000001,-0.825616748,-0.8186040509999999,-0.9085722509999999,-0.744805533,-0.929404432
2012-01-10,-0.730890226,-0.790295547,-0.823688403,-0.8243650790000001,-0.908713832,-0.743466263,-0.929039072
2012-01-11,-0.729948307,-0.7894340790000001,-0.822759895,-0.8225041590000001,-0.9079444809999999,-0.74253732,-0.927968837
2012-01-12,-0.7358558759999999,-0.79386623,-0.827083647,-0.824103832,-0.9118831209999999,-0.7501891079999999,-0.9297813640000001
2012-01-13,-0.738828533,-0.796976017,-0.8270018990000001,-0.8298079840000001,-0.908963526,-0.751623281,-0.944110734
2012-01-17,-0.737823922,-0.796109537,-0.827857838,-0.823783684,-0.911490015,-0.748979625,-0.944931303
2012-01-18,-0.737916885,-0.7964180540000001,-0.8284557709999999,-0.818495183,-0.9081895259999999,-0.7506128470000001,-0.947093728
2012-01-19,-0.73749839,-0.796276868,-0.8294618709999999,-0.8219781140000001,-0.909784678,-0.750575289,-0.9460873259999999
2012-01-20,-0.735664194,-0.794285152,-0.8292454509999999,-0.819684269,-0.912565416,-0.7506132209999999,-0.944721699
2012-01-23,-0.736832224,-0.795389956,-0.8296803079999999,-0.82165955,-0.913322257,-0.749943424,-0.9358766040000001
2012-01-24,-0.7403008959999999,-0.7981382640000001,-0.8340553540000001,-0.8303314690000001,-0.9186836009999999,-0.754210754,-0.93938592
2012-01-25,-0.740596585,-0.79865063,-0.838332648,-0.829712925,-0.916225066,-0.754524523,-0.938853473
2012-01-26,-0.741825835,-0.7999776740000001,-0.837805192,-0.8318101440000001,-0.920975227,-0.75529195,-0.9407250709999999
2012-01-27,-0.7400757920000001,-0.7984587040000001,-0.837952787,-0.8282371270000001,-0.919347136,-0.753709477,-0.939130782
2012-01-30,-0.740795238,-0.799274921,-0.841398477,-0.8295389809999999,-0.916679647,-0.756127285,-0.938811385
2012-01-31,-0.74232906,-0.8005193,-0.842071083,-0.83040905,-0.917484558,-0.7587919409999999,-0.938761115
2012-02-01,-0.7410966379999999,-0.799224917,-0.840617794,-0.827566914,-0.9164200370000001,-0.7538911290000001,-0.938348029
2012-02-02,-0.7382550109999999,-0.7968071940000001,-0.836755982,-0.828354851,-0.913990944,-0.7542248420000001,-0.936772189
2012-02-03,-0.737076024,-0.7958963509999999,-0.8347898640000001,-0.828366704,-0.912739625,-0.751795243,-0.938649776
2012-02-06,-0.7346591459999999,-0.7940493129999999,-0.83378325,-0.831689328,-0.91416038,-0.751541036,-0.944719526
2012-02-07,-0.734890881,-0.79432602,-0.8340927779999999,-0.8311371359999999,-0.914346275,-0.748875757,-0.945294739
2012-02-08,-0.73451979,-0.79410225,-0.8342797270000001,-0.8308281820000001,-0.9141649390000001,-0.748702031,-0.945303582
2012-02-09,-0.7347451759999999,-0.794414553,-0.8358546370000001,-0.8312454640000001,-0.914711033,-0.748900001,-0.9351037590000001
2012-02-10,-0.736512686,-0.7961342090000001,-0.8440174540000001,-0.832625183,-0.913259741,-0.75074735,-0.9367397470000001
2012-02-13,-0.737121238,-0.79713187,-0.8426487909999999,-0.83273553,-0.908940533,-0.753573789,-0.9368781429999999
2012-02-14,-0.73776201,-0.7978063190000001,-0.841966494,-0.830409877,-0.914365671,-0.752841234,-0.9420214309999999
2012-02-15,-0.7391892859999999,-0.7990071,-0.837613485,-0.83365025,-0.915964522,-0.753822724,-0.944582557
2012-02-16,-0.7382135009999999,-0.797928126,-0.8412216659999999,-0.828854619,-0.916510444,-0.75685438,-0.943867908
