,rel_param_ols,rel_param_ridge,rel_param_lasso,rel_param_enet,rel_param_adapt_lasso,rel_param_adapt_enet,rel_param_linear_boost,rel_param_linear_bagging
2011-12-23,149,149,86,100,57,95,42,149
2011-12-27,149,149,86,101,58,95,42,149
2011-12-28,149,149,86,101,57,111,41,149
2011-12-29,149,149,85,101,49,92,43,149
2011-12-30,149,149,96,99,52,92,43,149
2012-01-03,149,149,97,98,50,93,44,149
2012-01-04,149,149,98,98,52,106,42,149
2012-01-05,149,149,90,97,48,96,42,149
2012-01-06,149,149,91,99,48,112,43,149
2012-01-09,149,149,89,102,48,96,43,149
2012-01-10,149,149,89,99,50,111,42,149
2012-01-11,149,149,88,98,50,110,42,149
2012-01-12,149,149,98,100,43,111,43,149
2012-01-13,149,149,101,100,55,109,39,149
2012-01-17,149,149,98,102,45,109,39,149
2012-01-18,149,149,98,107,49,108,40,149
2012-01-19,149,149,97,103,51,93,39,149
2012-01-20,149,149,95,106,47,94,40,149
2012-01-23,149,149,98,100,47,93,40,149
2012-01-24,149,149,85,99,46,108,40,149
2012-01-25,149,149,96,99,47,108,40,149
2012-01-26,149,149,83,100,46,108,40,149
2012-01-27,149,149,84,101,46,97,40,149
2012-01-30,149,149,83,101,47,108,40,149
2012-01-31,149,149,83,102,47,108,41,149
2012-02-01,149,149,83,99,47,106,41,149
2012-02-02,149,149,82,99,47,106,41,149
2012-02-03,149,149,84,100,47,105,42,149
2012-02-06,149,149,84,97,46,105,40,149
2012-02-07,149,149,84,96,46,105,40,149
2012-02-08,149,149,80,96,46,104,41,149
2012-02-09,149,149,85,96,46,104,42,149
2012-02-10,149,149,78,96,47,103,41,149
2012-02-13,149,149,79,95,46,97,39,149
2012-02-14,149,149,79,98,45,97,41,149
2012-02-15,149,149,83,100,45,96,41,149
2012-02-16,149,149,81,101,47,106,41,149
2012-02-17,149,149,83,96,45,95,41,149
2012-02-21,149,149,81,98,62,108,42,149
2012-02-22,149,149,82,98,46,109,41,149
2012-02-23,149,149,83,96,46,110,41,149
2012-02-24,149,149,82,98,32,94,41,149
2012-02-27,149,149,82,98,32,94,41,149
2012-02-28,149,149,82,95,32,94,42,149
2012-02-29,149,149,83,95,32,108,42,149
2012-03-01,149,149,83,95,32,107,42,149
2012-03-02,149,149,83,95,31,93,42,149
2012-03-05,149,149,83,95,31,93,42,149
2012-03-06,149,149,83,95,38,93,41,149
2012-03-07,149,149,90,94,40,109,40,149
2012-03-08,149,149,79,95,39,107,41,149
2012-03-09,149,149,79,96,36,107,41,149
2012-03-12,149,149,80,96,36,94,41,149
2012-03-13,149,149,79,96,36,94,40,149
2012-03-14,149,149,80,96,37,96,40,149
2012-03-15,149,149,77,95,30,108,40,149
2012-03-16,149,149,79,97,31,109,40,149
2012-03-19,149,149,80,97,29,100,40,149
2012-03-20,149,149,80,97,29,99,40,149
2012-03-21,149,149,79,97,29,98,40,149
2012-03-22,149,149,78,96,29,106,40,149
2012-03-23,149,149,78,98,29,108,41,149
2012-03-26,149,149,78,101,29,108,42,149
2012-03-27,149,149,80,100,27,108,42,149
2012-03-28,149,149,80,97,27,108,42,149
2012-03-29,149,149,79,100,27,99,42,149
2012-03-30,149,149,80,98,27,99,41,149
2012-04-02,149,149,79,98,28,108,42,149
2012-04-03,149,149,78,97,29,107,41,149
2012-04-04,149,149,79,96,31,97,42,149
2012-04-05,149,149,79,96,30,108,42,149
2012-04-09,149,149,80,96,30,96,42,149
2012-04-10,149,149,78,97,29,94,42,149
2012-04-11,149,149,79,97,28,95,41,149
2012-04-12,149,149,79,98,26,85,41,149
2012-04-13,149,149,79,99,27,85,41,149
2012-04-16,149,149,79,99,27,84,42,149
2012-04-17,149,149,82,97,28,95,43,149
2012-04-18,149,149,81,96,28,84,43,149
2012-04-19,149,149,79,96,28,95,42,149
2012-04-20,149,149,79,96,30,94,42,149
2012-04-23,149,149,79,96,30,95,43,149
2012-04-24,149,149,79,98,30,107,41,149
2012-04-25,149,149,77,97,29,108,41,149
2012-04-26,149,149,81,97,29,96,41,149
2012-04-27,149,149,81,95,29,96,41,149
2012-04-30,149,149,77,97,29,95,41,149
2012-05-01,149,149,79,98,29,96,41,149
2012-05-02,149,149,83,99,29,106,41,149
2012-05-03,149,149,85,97,29,97,41,149
